2	0
3	10000
4	20000
5	20000
6	50000
7	60000
8	70000
9	110000
10	120000
11	160000
12	180000
13	220000
14	250000
15	290000
16	340000
17	410000
18	440000
19	480000
20	540000
21	600000
22	660000
23	720000
24	790000
25	850000
26	930000
27	1010000
28	1090000
29	1160000
30	1260000
31	1360000
32	1420000
33	1510000
34	1600000
35	1720000
36	1800000
37	1920000
38	2030000
39	2120000
40	2260000
41	2380000
42	2500000
43	2610000
44	2750000
45	2940000
46	3010000
47	3150000
48	4550000
49	4200000
50	3610000
51	3750000
52	4010000
53	4040000
54	4190000
55	4370000
56	4510000
57	4680000
58	4850000
59	5030000
60	5240000
61	5350000
62	5560000
63	5780000
64	5910000
65	6130000
66	6330000
67	6480000
68	6700000
69	6870000
70	7110000
71	7300000
72	7540000
73	8230000
74	8030000
75	8150000
76	8410000
77	8640000
78	8870000
79	9090000
80	9360000
81	9540000
82	9820000
83	10010000
84	10320000
85	10530000
86	11460000
87	11120000
88	11320000
89	11650000
90	11880000
91	12160000
92	12440000
93	12700000
94	12970000
95	13300000
96	14170000
97	13750000
98	14080000
99	14390000
