20540202	340000
19684525	340000
64526971	1090000
44726024	750000
58229777	990000
8014901	130000
2535443	50000
64754849	1080000
27268620	460000
49606945	830000
50754221	850000
46610288	780000
89656864	1510000
58225710	990000
29991260	520000
14049785	240000
27546228	470000
90512711	1530000
8023882	140000
52582996	890000
27201830	460000
57483156	970000
923096	10000
47071085	800000
74157603	1240000
23121437	390000
30134820	500000
11103553	190000
38313718	640000
63420665	1060000
20158682	340000
499411	10000
4145129	70000
6368575	110000
46658201	790000
30208070	510000
70120669	1180000
12688772	210000
80399740	1360000
62512115	1060000
10062162	170000
39611675	670000
18611215	320000
50876378	850000
26280921	440000
86351581	1450000
81098561	1370000
38932059	650000
53617012	900000
64226143	1090000
27620456	470000
50659132	860000
18038744	310000
9694176	160000
73277352	1230000
54126100	920000
1093626	20000
52265099	890000
44556234	750000
21242108	360000
43839289	740000
40865177	690000
49884852	840000
80859223	1360000
3725301	60000
60825620	1030000
14417689	240000
58150403	980000
33347831	560000
321913	10000
50610499	850000
23912145	400000
71264137	1210000
73494110	1250000
21845033	370000
19725547	340000
48245382	820000
26926466	450000
18459202	310000
71735231	1220000
38268352	640000
78853103	1330000
83212738	1400000
20972227	350000
98085537	1660000
77243068	1310000
81399438	1370000
89903914	1520000
35013399	590000
77175771	1310000
72490741	1220000
2653996	40000
79994374	1360000
47793867	810000
34348739	580000
81368344	1380000
44457585	750000
3583862	60000
20820513	350000
53538741	900000
71539213	1210000
96935676	1650000
5975491	110000
82371945	1390000
43079839	730000
97372839	1660000
51748619	870000
80083290	1340000
79534359	1340000
10556678	180000
85720788	1450000
21947573	370000
47128261	800000
52828654	890000
49135030	820000
95781476	1620000
12468208	210000
47172087	800000
13795584	230000
96301804	1630000
36102390	610000
38470992	640000
3645641	60000
17112739	280000
63374045	1070000
71091325	1190000
29449629	500000
77207892	1300000
59247468	1000000
26268693	440000
13669648	230000
81820344	1380000
63608536	1070000
92920366	1570000
81295036	1390000
16684717	280000
23712833	400000
12364053	210000
63961211	1080000
43729989	740000
42274348	720000
76302257	1290000
69290268	1170000
47121857	790000
83825880	1420000
88864973	1490000
31153294	520000
10113924	180000
29562128	500000
62549184	1050000
