1 0,00000001
2 4,99436241365109E-008
3 1,99774496546044E-007
4 7,99097986184175E-007
5 3,39616644128274E-006
6 1,55624332809368E-005
7 7,6883214995745E-005
8 0,0004077098
9 0,0023087939
10 0,0138932175
11 0,0884517565
12 0,5935132881
13 4,1832380527
14 30,8790092132
15 238,0888945168
16 1913,0209914351


